,,,,,
Invoice Date,Invoice Number,Company Name (Seller),Spare Part Name,Qty,Price per Unit
08-08-2025,IEPL/FY25-26/263,Ingenium Electronics Pvt. Ltd.,Labeling System Item ID: 5Y50481,1,"1,55,000.00"
03-06-2025,66,P P ENTERPRISES,CONVEYOR TIE ROD 82,1,"8,100.00"
03-06-2025,66,P P ENTERPRISES,LABELER LOOSE PARTS 200MM,1,"15,500.00"
03-06-2025,66,P P ENTERPRISES,SPRING FLANGE,4,600
03-06-2025,66,P P ENTERPRISES,KNURLAL ASSEMBLY200,2,375
03-06-2025,66,P P ENTERPRISES,Alu knob,4,275
03-06-2025,66,P P ENTERPRISES,CONVEYOR MOUNRING BLOCK 127 X150 X40,2,"1,450.00"
08-Sep-25,DN/00265/25-26,DE & NEPHEW,150 L X 90 OD X 12 ID BLACK FOAM ROLLER,2 NOS,"1,480.00"
18-Sep-25,DN/00278/25-26,DE & NEPHEW,100 MM OD X 10 X 100 MM L WHITE FOAM ROLLER,10 NOS,800
18-Sep-25,DN/00278/25-26,DE & NEPHEW,100 MM OD X 10 MM ID X 150 MM L WHITE FOAM ROLLER,10 NOS,"1,200.00"
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 32 H x 45 OD,4 NOS,350
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 50 H x 45 OD,4 NOS,380
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 90 H x 45 OD,4 NOS,540
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 120 H x 45 OD,4 NOS,580
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 150 H x 45 OD,2 NOS,730
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Drive Roller: 32 H x 80 OD,2 NOS,720
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Drive Roller: 50 H x 80 OD,2 NOS,890
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Drive Roller: 90 H x 80 OD,2 NOS,"1,490.00"
27-08-2025,079/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Drive Roller: 120 H x 80 OD,2 NOS,"1,880.00"
,0112/25-26,PACKORA AUTOMATION SYSTEMS,Spacer Brass Bush,4 NOS,390
,0112/25-26,PACKORA AUTOMATION SYSTEMS,Spacer Horizontal Lead Screw,2 NOS,650
,0112/25-26,PACKORA AUTOMATION SYSTEMS,Spacer Vertical Lead Screw,2 NOS,750
,0112/25-26,PACKORA AUTOMATION SYSTEMS,Idler Pully With Shaft,2 NOS,890
,0112/25-26,PACKORA AUTOMATION SYSTEMS,Driven Pully,2 NOS,680
24-05-2025,61,P. P ENTERPRISES,ALU CORE LOCK,4,450
24-05-2025,61,P. P ENTERPRISES,SS CORE LOCK PATTI,20,35
24-05-2025,61,P. P ENTERPRISES,CONVEYOR TIE ROD 114,2,"8,200.00"
24-05-2025,61,P. P ENTERPRISES,S S SPONGE ROD16 X125,2,325
24-05-2025,61,P. P ENTERPRISES,S S SPONGE ROD 16 X175,2,425
24-05-2025,61,P. P ENTERPRISES,INDICATOR BUSH,1,90
,DE/25-26/143,[Not Visible],WP-0.25HP-001 0.25 GEARBOX+SERVO MOTOR FLANGE 2,2 Nos.,"1,350.00"
,DE/25-26/143,[Not Visible],WP-0.25HP-002 0.25 GEARBOX+SERVO MOTOR FLANGE 2,2 Nos.,"2,450.00"
